15	10	E	-6992375.613694261	200
emissionprobs	5	1	H3k09me3	1	0.002535558305269524
emissionprobs	5	2	H3k27ac	0	0.4734590864571416
emissionprobs	5	2	H3k27ac	1	0.5265409135428585
emissionprobs	5	3	H3k27me3	0	0.994279251346752
emissionprobs	5	3	H3k27me3	1	0.005720748653248067
emissionprobs	5	4	H3k36me3	0	0.9956677692554802
emissionprobs	5	4	H3k36me3	1	0.004332230744519754
emissionprobs	5	5	H3k4me1	0	0.9090217430945977
emissionprobs	5	5	H3k4me1	1	0.0909782569054023
emissionprobs	5	6	H3k4me2	0	0.03947903231438208
emissionprobs	5	6	H3k4me2	1	0.9605209676856179
emissionprobs	5	7	H3k4me3	0	0.009399645947105715
emissionprobs	5	7	H3k4me3	1	0.9906003540528943
emissionprobs	5	8	H3k79me2	0	0.7723335946083952
emissionprobs	5	8	H3k79me2	1	0.2276664053916048
emissionprobs	5	9	H3k9ac	0	0.02998805674124238
emissionprobs	5	9	H3k9ac	1	0.9700119432587577
emissionprobs	6	0	H2az	0	0.9833947101534763
emissionprobs	6	0	H2az	1	0.016605289846523676
emissionprobs	6	1	H3k09me3	0	0.9934847413213537
emissionprobs	6	1	H3k09me3	1	0.0065152586786463695
emissionprobs	6	2	H3k27ac	0	0.923189581790411
emissionprobs	6	2	H3k27ac	1	0.07681041820958899
emissionprobs	6	3	H3k27me3	0	0.9908899220919681
emissionprobs	6	3	H3k27me3	1	0.009110077908031835
emissionprobs	6	4	H3k36me3	0	0.9449908933056947
emissionprobs	6	4	H3k36me3	1	0.05500910669430519
emissionprobs	6	5	H3k4me1	0	0.7757600263706566
emissionprobs	6	5	H3k4me1	1	0.2242399736293435
emissionprobs	6	6	H3k4me2	0	0.16392671032186693
emissionprobs	6	6	H3k4me2	1	0.836073289678133
emissionprobs	6	7	H3k4me3	0	0.5086604337201607
emissionprobs	6	7	H3k4me3	1	0.49133956627983927
emissionprobs	6	8	H3k79me2	0	0.09345748064212828
emissionprobs	6	8	H3k79me2	1	0.9065425193578718
emissionprobs	6	9	H3k9ac	0	0.8923079100290346
emissionprobs	6	9	H3k9ac	1	0.1076920899709653
emissionprobs	7	0	H2az	0	0.9992013482839754
emissionprobs	7	0	H2az	1	7.986517160245639E-4
emissionprobs	7	1	H3k09me3	0	0.9864263279283202
emissionprobs	7	1	H3k09me3	1	0.013573672071679824
emissionprobs	7	2	H3k27ac	0	0.9838614555769395
emissionprobs	7	2	H3k27ac	1	0.016138544423060515
emissionprobs	7	3	H3k27me3	0	0.9981510562739178
emissionprobs	7	3	H3k27me3	1	0.0018489437260822378
emissionprobs	7	4	H3k36me3	0	0.9704470987687003
emissionprobs	7	4	H3k36me3	1	0.029552901231299774
emissionprobs	7	5	H3k4me1	0	0.9689121507317588
emissionprobs	7	5	H3k4me1	1	0.03108784926824118
emissionprobs	7	6	H3k4me2	0	0.9901064579304739
emissionprobs	7	6	H3k4me2	1	0.009893542069526104
emissionprobs	7	7	H3k4me3	0	0.9989143153487364
emissionprobs	7	7	H3k4me3	1	0.0010856846512635088
emissionprobs	7	8	H3k79me2	0	0.28870124131804925
emissionprobs	7	8	H3k79me2	1	0.7112987586819508
emissionprobs	7	9	H3k9ac	0	0.996333370848929
emissionprobs	7	9	H3k9ac	1	0.0036666291510709767
emissionprobs	8	0	H2az	0	0.9997142822606713
emissionprobs	8	0	H2az	1	2.8571773932873024E-4
emissionprobs	8	1	H3k09me3	0	0.9938792300910683
emissionprobs	8	1	H3k09me3	1	0.00612076990893167
emissionprobs	8	2	H3k27ac	0	0.9925202181986593
emissionprobs	8	2	H3k27ac	1	0.007479781801340635
emissionprobs	8	3	H3k27me3	0	0.9983736268318316
emissionprobs	8	3	H3k27me3	1	0.0016263731681683865
emissionprobs	8	4	H3k36me3	0	0.9817613785974996
emissionprobs	8	4	H3k36me3	1	0.018238621402500415
emissionprobs	8	5	H3k4me1	0	0.9950248719217802
emissionprobs	8	5	H3k4me1	1	0.0049751280782197385
emissionprobs	8	6	H3k4me2	0	0.9994428646266913
emissionprobs	8	6	H3k4me2	1	5.571353733088037E-4
emissionprobs	8	7	H3k4me3	0	0.9997470319433536
emissionprobs	8	7	H3k4me3	1	2.529680566464294E-4
emissionprobs	8	8	H3k79me2	0	0.9755666593342749
emissionprobs	8	8	H3k79me2	1	0.024433340665725126
emissionprobs	8	9	H3k9ac	0	0.9978563587149222
emissionprobs	8	9	H3k9ac	1	0.0021436412850778562
emissionprobs	9	0	H2az	0	0.9998920668740655
emissionprobs	9	0	H2az	1	1.0793312593441662E-4
emissionprobs	9	1	H3k09me3	0	0.9913715156376026
emissionprobs	9	1	H3k09me3	1	0.008628484362397335
emissionprobs	9	2	H3k27ac	0	0.9814453102482591
emissionprobs	9	2	H3k27ac	1	0.01855468975174091
emissionprobs	9	3	H3k27me3	0	0.9981468553524202
emissionprobs	9	3	H3k27me3	1	0.0018531446475798857
emissionprobs	9	4	H3k36me3	0	0.5802437382138769
emissionprobs	9	4	H3k36me3	1	0.4197562617861231
emissionprobs	9	5	H3k4me1	0	0.9930752701307444
emissionprobs	9	5	H3k4me1	1	0.0069247298692556945
emissionprobs	9	6	H3k4me2	0	0.9989122494733578
emissionprobs	9	6	H3k4me2	1	0.0010877505266422038
emissionprobs	9	7	H3k4me3	0	0.9995301399093652
emissionprobs	9	7	H3k4me3	1	4.6986009063478804E-4
emissionprobs	9	8	H3k79me2	0	0.9765019749230699
emissionprobs	9	8	H3k79me2	1	0.023498025076930096
emissionprobs	9	9	H3k9ac	0	0.9949044434791717
emissionprobs	9	9	H3k9ac	1	0.00509555652082822
emissionprobs	10	0	H2az	0	0.7456712562664729
emissionprobs	10	0	H2az	1	0.25432874373352704
emissionprobs	10	1	H3k09me3	0	0.023673495329965582
emissionprobs	10	1	H3k09me3	1	0.9763265046700343
emissionprobs	10	2	H3k27ac	0	0.718039224217518
emissionprobs	10	2	H3k27ac	1	0.2819607757824821
emissionprobs	10	3	H3k27me3	0	0.6381425155451061
emissionprobs	10	3	H3k27me3	1	0.3618574844548939
emissionprobs	10	4	H3k36me3	0	0.33253060339852236
emissionprobs	10	4	H3k36me3	1	0.6674693966014775
emissionprobs	10	5	H3k4me1	0	0.8464218055384707
emissionprobs	10	5	H3k4me1	1	0.15357819446152923
emissionprobs	10	6	H3k4me2	0	0.856517803736373
emissionprobs	10	6	H3k4me2	1	0.14348219626362707
emissionprobs	10	7	H3k4me3	0	0.8458869035730981
emissionprobs	10	7	H3k4me3	1	0.15411309642690177
emissionprobs	10	8	H3k79me2	0	0.7552637346587472
emissionprobs	10	8	H3k79me2	1	0.2447362653412529
emissionprobs	10	9	H3k9ac	0	0.6999392527491387
emissionprobs	10	9	H3k9ac	1	0.30006074725086135
emissionprobs	11	0	H2az	0	0.9983997444682776
emissionprobs	11	0	H2az	1	0.0016002555317223602
emissionprobs	11	1	H3k09me3	0	0.7376592206598056
emissionprobs	11	1	H3k09me3	1	0.2623407793401944
emissionprobs	11	2	H3k27ac	0	0.9981445587740067
emissionprobs	11	2	H3k27ac	1	0.0018554412259932916
emissionprobs	11	3	H3k27me3	0	0.9919779260226581
emissionprobs	11	3	H3k27me3	1	0.008022073977341837
emissionprobs	11	4	H3k36me3	0	0.9942793453615811
emissionprobs	11	4	H3k36me3	1	0.005720654638418898
emissionprobs	11	5	H3k4me1	0	0.9985627116472382
emissionprobs	11	5	H3k4me1	1	0.0014372883527616932
emissionprobs	11	6	H3k4me2	0	0.9996586962718712
emissionprobs	11	6	H3k4me2	1	3.4130372812877504E-4
emissionprobs	11	7	H3k4me3	0	0.9994024179242793
emissionprobs	11	7	H3k4me3	1	5.975820757207579E-4
emissionprobs	11	8	H3k79me2	0	0.9984843034193354
emissionprobs	11	8	H3k79me2	1	0.001515696580664651
emissionprobs	11	9	H3k9ac	0	0.9991387511781173
emissionprobs	11	9	H3k9ac	1	8.612488218827704E-4
emissionprobs	12	0	H2az	0	0.993979089723265
emissionprobs	12	0	H2az	1	0.006020910276734957
emissionprobs	12	1	H3k09me3	0	0.9931272269096069
emissionprobs	12	1	H3k09me3	1	0.006872773090393155
emissionprobs	12	2	H3k27ac	0	0.9979171834439309
emissionprobs	12	2	H3k27ac	1	0.0020828165560691013
emissionprobs	12	3	H3k27me3	0	0.998129095187719
emissionprobs	12	3	H3k27me3	1	0.0018709048122809726
emissionprobs	12	4	H3k36me3	0	0.999429001080152
emissionprobs	12	4	H3k36me3	1	5.709989198480058E-4
emissionprobs	12	5	H3k4me1	0	0.9981890108388817
emissionprobs	12	5	H3k4me1	1	0.0018109891611184088
emissionprobs	12	6	H3k4me2	0	0.9998302943947043
emissionprobs	12	6	H3k4me2	1	1.6970560529582643E-4
emissionprobs	12	7	H3k4me3	0	0.9998801418816623
emissionprobs	12	7	H3k4me3	1	1.1985811833759351E-4
emissionprobs	12	8	H3k79me2	0	0.9996082161907375
emissionprobs	12	8	H3k79me2	1	3.917838092624449E-4
emissionprobs	12	9	H3k9ac	0	0.999262377370129
emissionprobs	12	9	H3k9ac	1	7.376226298708704E-4
emissionprobs	13	0	H2az	0	0.5311673853233553
emissionprobs	13	0	H2az	1	0.4688326146766447
emissionprobs	13	1	H3k09me3	0	0.9775777169887683
emissionprobs	13	1	H3k09me3	1	0.022422283011231718
emissionprobs	13	2	H3k27ac	0	0.9714504391875595
emissionprobs	13	2	H3k27ac	1	0.028549560812440603
emissionprobs	13	3	H3k27me3	0	0.9937735584788671
emissionprobs	13	3	H3k27me3	1	0.006226441521133012
emissionprobs	13	4	H3k36me3	0	0.9968571952987029
emissionprobs	13	4	H3k36me3	1	0.0031428047012971127
emissionprobs	13	5	H3k4me1	0	0.9375927175105303
emissionprobs	13	5	H3k4me1	1	0.062407282489469744
emissionprobs	13	6	H3k4me2	0	0.9767829123116245
emissionprobs	13	6	H3k4me2	1	0.023217087688375573
emissionprobs	13	7	H3k4me3	0	0.9975280441385416
emissionprobs	13	7	H3k4me3	1	0.002471955861458377
emissionprobs	13	8	H3k79me2	0	0.9984657046970952
emissionprobs	13	8	H3k79me2	1	0.0015342953029048986
emissionprobs	13	9	H3k9ac	0	0.9906451333345471
emissionprobs	13	9	H3k9ac	1	0.009354866665452892
emissionprobs	14	0	H2az	0	0.707164796570033
emissionprobs	14	0	H2az	1	0.29283520342996705
emissionprobs	14	1	H3k09me3	0	0.9909000900614161
emissionprobs	14	1	H3k09me3	1	0.009099909938583858
emissionprobs	14	2	H3k27ac	0	0.7665056006459151
emissionprobs	14	2	H3k27ac	1	0.23349439935408492
emissionprobs	14	3	H3k27me3	0	0.9912786152708627
emissionprobs	14	3	H3k27me3	1	0.008721384729137307
emissionprobs	14	4	H3k36me3	0	0.9944056632824702
emissionprobs	14	4	H3k36me3	1	0.00559433671752987
emissionprobs	14	5	H3k4me1	0	0.5225399358770946
emissionprobs	14	5	H3k4me1	1	0.4774600641229055
emissionprobs	14	6	H3k4me2	0	0.30431831242267726
emissionprobs	14	6	H3k4me2	1	0.6956816875773227
emissionprobs	14	7	H3k4me3	0	0.8718046496113026
emissionprobs	14	7	H3k4me3	1	0.12819535038869753
emissionprobs	14	8	H3k79me2	0	0.9908903151892217
emissionprobs	14	8	H3k79me2	1	0.009109684810778344
emissionprobs	14	9	H3k9ac	0	0.8846142331790703
emissionprobs	14	9	H3k9ac	1	0.11538576682092966
emissionprobs	15	0	H2az	0	0.9901916554447235
emissionprobs	15	0	H2az	1	0.009808344555276429
emissionprobs	15	1	H3k09me3	0	0.9949026143036755
emissionprobs	15	1	H3k09me3	1	0.005097385696324339
emissionprobs	15	2	H3k27ac	0	0.9713420398599386
emissionprobs	15	2	H3k27ac	1	0.02865796014006136
emissionprobs	15	3	H3k27me3	0	0.9891080929198084
emissionprobs	15	3	H3k27me3	1	0.010891907080191584
emissionprobs	15	4	H3k36me3	0	0.9967620329972324
emissionprobs	15	4	H3k36me3	1	0.0032379670027676034
emissionprobs	15	5	H3k4me1	0	0.8281451046551831
emissionprobs	15	5	H3k4me1	1	0.1718548953448168
emissionprobs	15	6	H3k4me2	0	0.9450469226066095
emissionprobs	15	6	H3k4me2	1	0.054953077393390615
emissionprobs	15	7	H3k4me3	0	0.99566495690292
emissionprobs	15	7	H3k4me3	1	0.00433504309708002
emissionprobs	15	8	H3k79me2	0	0.9907963469318355
emissionprobs	15	8	H3k79me2	1	0.009203653068164522
emissionprobs	15	9	H3k9ac	0	0.9885767589080505
emissionprobs	15	9	H3k9ac	1	0.01142324109194953
